source,source_dataset,source_indicator_code,source_indicator_name,current_indicator_code,candidate_indicator_code,candidate_indicator_name_zh,candidate_indicator_name_en,match_score,confidence_level,match_reason,review_status,source_unit,candidate_unit,source_frequency,candidate_frequency,country_count,observation_count,start_date,end_date
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.CPI.YOY.M,China CPI YoY,CN_CPI_YOY_M,CN_CPI_YOY_M,中国居民消费价格指数同比,China CPI YoY,0.94,高可信,已固化映射；名称/关键词相似、单位一致、频率一致、代码关键词相近,已确认,%,%,M,M,1,12,2024-01,2024-12
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,CN_PPI_YOY_M,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,0.94,高可信,已固化映射；名称/关键词相似、单位一致、频率一致、代码关键词相近,已确认,%,%,M,M,1,12,2024-01,2024-12
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD Brazil - Brazilian real - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD Germany - Euro - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD Euro area - Euro - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD United Kingdom - Pound (sterling) - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD India - Indian rupee - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD Japan - Yen - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD Mexico - Mexican peso - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD Türkiye - Turkish lira - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD United States - US dollar - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
BIS,Exchange rates,WS_XRU.D, Exchange rates against USD South Africa - South African Rand - Daily - Average of observations through period,EXCHANGE_RATE_USD_D,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,0.92,高可信,已固化映射；单位一致、频率一致,已确认,local currency per USD,local currency per USD,D,D,11,32350,2015-01-01,2026-06-02
ECB,Euro foreign exchange reference rates,EXR.D.USD.EUR.SP00.A,Euro foreign exchange reference rate: USD,EUR_USD_EXCHANGE_RATE_D,EUR_USD_EXCHANGE_RATE_D,欧元兑美元参考汇率,Euro foreign exchange reference rate: USD,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致、代码关键词相近,已确认,USD per EUR,USD per EUR,D,D,1,2923,2015-01-02,2026-06-04
Eurostat,prc_hicp_manr,prc_hicp_manr.CP00,HICP annual rate of change,CPI_YOY_M,CPI_YOY_M,居民消费价格指数同比,Consumer Price Index YoY,0.92,高可信,已固化映射；单位一致、频率一致,已确认,%,%,M,M,5,660,2015-01,2025-12
FRED,Federal Reserve Economic Data,CPIAUCSL,U.S. Consumer Price Index,US_CPI_INDEX_M,US_CPI_INDEX_M,美国居民消费价格指数,U.S. Consumer Price Index,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,index 1982-1984=100,index 1982-1984=100,M,M,1,136,2015-01,2026-04
